Slowdive, 40 Days
Rat Chasm, Wasteland Centerfold
Kayo Dot, Lost Souls On Lonesome's Way
Jejune, Indian Giver
Freddy Cannon, Palisades Park
These Stains Are Who I Am, programme theme
Laura Branigan, Self Control
Lisa LeBlanc, Gossip
Love Is All, Last Choice
Little Boots, New In Town
Luscious Jackson, Take a Ride
Naomi Campbell, Life of Leisure
Snoop Dogg, Dr. Dre, 50 Cent & Eminem, Gunz N Smoke
Tricky, Parenthesis
Portishead, All Mine
Fever Ray, Even It Out
FKA twigs, Lights On
Pat Fleet, pat fleet drop (telephone)
Tool, Jerk-Off (Live)
The Cure, Drone:Nodrone
Moses Sumney (feat. ANOHNI), Is It Cold In The Water-
Kim Deal, Wish I Was
George Harrison, Isn't It a Pity
The Mountain Goats, Corsican Mastiff Stride
The Postal Service, Against All Odds
!!!, Intensify
The Jesus and Mary Chain, Head On
Kendrick Lamar, wacced out murals
Shellac, Elephant
The Jesus Lizard, Cost Of Living
Trent Reznor & Atticus Ross & Caetano Veloso, Vaster Than Empires
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
The Jesus & Mary Chain, Jamcod
The Jesus & Mary Chain, Chemical Animal
Jane's Addiction, Ain't No Right
The Pixies, You're So Impatient
Buffalo Tom, Helmet
Nick Cave & The Bad Seeds, Frogs
Kaleo, Rock And Roller
Jet, Are You Gonna Be Me Girl?
Black Keys, Howling For You
The Timelords, The Doctor And The Tardis
LolxBudgiexJames Murphy, Los Angeles
Nine Inch Nails, March Of The Pigs (live video version)
Helmet & House Of Pain, Just Another Victim
RUN-DMC, It's Tricky
Beastie Boys, Intergalactic
Big Mama Thornton, Let's Go Get Stoned
Albert Collins, I Ain't Drunk
George Thorogood & The Delaware Destroyers, It Wasn't Me
AC-DC, Baby Please Don't Go
The Kills, Fried My Little Brains (live studio)
Amyl & The Sniffers, You Should Not Be Doing That
Bullet LaVolta, The Gift
Iron Maiden, Hocus Pocus
Ministry, TV Song 1-6 Edition
Slipknot, The Dying Song
Tom Morello feat. Slash, Interstate 80
