Book of Love, Boy
Tiger Trap, Supreme Nothing
worbler-autodj, autodj » cmd » encoder-shutdown
grahams, Show will begin shortly
These Stains Are Who I Am, programme theme
The Bug, Annihilated (Force of Gravity)
The Bug, Fucka (Tongue As A Weapon)
Coil, Things Happen
100 gecs, Doritos & Fritos
Cyndi Lauper, Girls Just Want to Have Fun (2013 Anamanaguchi Remix, Mix 2)
Juliette Lewis, Hardly Wait
The Bobby Lees, Strange Days
David Bowie, Hallo Spaceboy (Remix)
How to destroy angels, Is Your Love Strong Enough?
Nine Inch Nails, The Hand That Feeds (DFA Mix)
Allie Goertz, Wish
Kim Deal, A Good Time Pushed
Zola Jesus, The Way
Public Service Broadcasting, Towards the Dawn
The Jesus and Mary Chain, Just Like Honey
Ducks Ltd., Head On (feat. Illuminati Hotties)
Pat Fleet, pat fleet drop (telephone)
The Beatles, Across The Universe
Godspeed You! Black Emperor, SUN IS A HOLE SUN IS VAPORS
Aphex Twin, Rhubarb Orc 1953 Rev
Charli xcx & Billie Eilish, Guess featuring Billie Eilish
Hot Chip, Guilty
LCD Soundsystem, (we don't need this) fascist groove thang (electric lady sessions)
!!!, When The Going Gets Tough, The Tough Get Karazzee
Brian Eno, Third Uncle
Tanya Tagaq, Blood-Auk
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
Faith No More, Just a Man
Kris Kristofferson, Sunday Morning Coming Down (acoustic RIP)
Joan Jett & The Blackhearts, Bad Reputation
Ryder B, I Wanna Be Alone
The Kills, Happier Than Ever
The Cure, Alone
The The, Some Days I Drink My Coffee By The Grave Of William Blake
Fishbone, All We Have Is Now
Jah Wobble ft Sinead O'Connor, Visions Of You
The Yardbirds, Dazed And Confused (live TV performance 1968)
Led Zeppelin, Dazed And Confused (live TV performance 1969)
Black Crowes, Rats And Clowns
Mick Jagger, Don't Tear Me Up
Muck Sticky, Pot Smokin'
THOT Squad ft Sophie Hunter, Hoes Depressed
Ice Spice, You Think U The Shit
Shelf Lives, Skirts And Salads
The Hives, I'm Alive
Jack White, Archbishop Harold Holmes
Titanics, High On Drugs
Black Flag, Slip It In
Linda Linda's, No Obligation
AC/DC, Kicked In The Teeth
Guns & Roses, Perhaps
Memphis May Fire, Infection
Tom Morello, Soldier In The Army Of Love
The Jesus & Mary Chain, Reverence (Al Jourgansen Mix)
