Wildhoney, Slow Motion
Wamblee, Come and Get Your Love
Elisapie, Don't Make Me Blue
JC Campbell, Sweet Soul Love
Kyle McKearney, Tuesday's Gone
Cris Derksen, Beautiful Nightmare
Amanda Rheaume, I Won't Hide
Raye Zaragoza, In the River
Adrian Sullivan, Scared
DJ Shub, Northern Cree, Indomitable
Charlie Paar, Over the Red Cedar
Peter La Farge, Lavender Cowboy
Lori Kole, One of Us
Ode'min Kwe Singers, Humble Song
Stand N Rock, Stand Up
Supaman, Know Better Do Better
Believer, Deerlady
Dead Pioneers, We Were Punk First
Crystal Shawanda, Your Cheatin' Heart
Lido Pimienta, Pelo Cucu
Celeigh Cardinal, Just Let Me Lie to You
Rhiannon Giddens, Iron & Wine, Forever Young
Serena Ryder, Better Now
Leonard Sumner, Memories
Marx Cassity, Somewhere
Kym Gouchie, Atsoo Shun
Marie Gaudet, Seven Grandfathers (feat. Michelle St. John)
Shy-Anne Hovorka, Gookum's Song
Morgan Toney, Emma Stevens, Shift from tha 902, Wela'lin (Thank You)
JJ Lavallee, Good Metis Man
Robbie Robertson, Heartbeat Theme / Ni-U-Kon-Ska
William Prince, 7
Indian City, Wannabe (feat. Chantal Kreviazuk)
The Cure, Alone
The Cure, The Hanging Garden (demo)
The Cure, The Blood
Billy Idol, Eyes Without A Face
Billy Idol, Cousin Kevin (live)
Billy Idol, Rebel Yell (live from 106
Bono, Dreaming With Tears In My Eyes
U2, Stay (Far Away So Close)
U2, Until The End Of The World
REM, Drive
REM, You Are The Everything
REM, The Passenger (live)
XTC, Generals & Majors
XTC, Medley (recorded live at WFNX)
XTC, Dear God
Patti Smith Group, So You Wanna Be A Rock & Roll Star
Patti Smith Group, Gloria
Patti Smith with Choir Choir Choir ft Stewart Copeland, People Have The Power (live)
The Clash, Should I Stay Or Should I Go (live)
The Clash, Pressure Drop
The Clash, Know Your Rights (demo)
Nine Inch Nails, Sanctified (It Burns version)
1000 Homo DJs, Supernaut (Trent Reznor vocals)
Nine Inch Nails, Everyday Is Exactly The Same (tour rehearsal version)
