     seq      time                                             scheduled_show                                  show                        episode                                       artist                                                                    track
51    51   8:17 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                         Tiga                                                                    Shoes
52    52   8:21 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                 Technotronic                                                          Pump Up The Jam
53    53   8:25 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                        Remix                                           Bidi, Bidi, Do You Wanna Dance
54    54   8:29 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                        LMFAO                                                       Sexy and I Know It
55    55   8:33 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                              Wilmoth Houdini                                           Bobby Sox Idol (Frank Sinatra)
56    56   8:35 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                     BIVkarot                                                         Let Us Adore You
57    57   8:38 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                          Us3                                                Cantaloop (Flip Fantasia)
58    58   8:42 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                     Club Mix                                                                      Go!
59    59   8:46 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                               Bootsy Collins                                                           The Mothership
60    60   8:50 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                          The Comet Is Coming                                             Final Eclipse (Full Version)
61    61   8:54 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                     Mr. Oizo                                                                 Cut Dick
62    62   8:57 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                   Radio Edit                                                                D.A.N.C.E
63    63   9:01 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                      Beyoncé                                                                     COZY
64    64   9:05 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                   Disclosure                                        Confess To Me (feat. Jessie Ware)
