     seq      time                                             scheduled_show                                  show                               episode                                          artist                                                                           track
44    44   8:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                        Ministry                                                          Every Day Is Halloween
45    45   8:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                         Outkast                                                 Dracula's Wedding (feat. Kelis)
46    46   9:01 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                   The Creatures                                                                  Mostly Ghostly
47    47   9:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                      Cal Tjader                                                                          Spooky
48    48   9:07 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                   Walter Murphy                                                     Toccata and Funk in D Minor
49    49   9:10 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                        Acanthus                                                         Le Frisson Des Vampires
50    50   9:13 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                  Birthday Party                                                                Release The Bats
51    51   9:15 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                    The Crystals                                                              Frankenstein Twist
52    52   9:18 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                         Misfits                                                                    Monster Mash
53    53   9:21 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                   Billy Demarco & Count Dracula                                                                     Drac's Back
54    54   9:23 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                    Oingo Boingo                                                            No One Lives Forever
55    55   9:28 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                         Bauhaus                                                                 In Fear Of Fear
56    56   9:32 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                 Milton Subotsky (screenplay by)                                             The Vault of Horror (movie trailer)
57    57   9:33 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                 Ella Fitzgerald                                                            That Old Black Magic
58    58   9:35 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                   Verne Langdon                                                               Carnival Of Souls
59    59   9:38 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                       Drugstore                                                          White Magic for Lovers
60    60   9:42 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                Repeated Viewing                                              Establishing Contact With The Dead
61    61   9:44 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                     Eartha Kitt                                                 I'd Rather Be Burned As A Witch
62    62   9:46 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                 The Hamburglars                                                                    Batman Theme
63    63   9:48 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                          Matmos                                                         Teen Paranormal Romance
64    64   9:48 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                       DJ Shadow                                                                     Organ Donor
65    65   9:54 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                     Bow Wow Wow                                                                    I Want Candy
66    66   9:59 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour  Richard O'Brien, Patricia Quinn, Nell Campbell                                                                       Time Warp
67    67  10:04 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                  John Carpenter                                                                        Prologue
68    68  10:04 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                    The Specials                                                                      Ghost Town
69    69  10:09 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                           Screamin' Jay Hawkins                                                            I Put a Spell On You
70    70  10:11 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                       Dramarama                                                              Anything, Anything
71    71  10:14 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                 Letters to Cleo                                                                  Dangerous Type
72    72  10:14 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                          Sparks                                                             Armies of the Night
73    73  10:24 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                   Mike Oldfield                                               Tubular Bells (From The Exorcist)
74    74  10:27 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                         Bauhaus                                            Bela Lugosi Is Dead (The Hunger Mix)
75    75  10:27 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                           SQÜRL                                          Funnel of Love (feat. Madeline Follin)
76    76  10:27 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                       Nick Cave & The Bad Seeds                                                                  Red Right Hand
77    77  10:27 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                    The Blasters                                                                      Dark Night
78    78  10:47 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                 Concrete Blonde                                                               Your Haunted Head
79    79  10:50 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                   Matthew Sweet                                                                     Silent City
80    80  10:54 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                          Goblin                                                                        Suspiria
81    81  10:54 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                  Marilyn Manson                                                 Sweet Dreams (Are Made of This)
