     seq      time                                             scheduled_show                 show                   episode                              artist                                                track
46    46   9:23 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                           New Order                                       Age of Consent
47    47   9:23 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                            Nemahsis                                    coloured concrete
48    48   9:31 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                          The Marías                                                Heavy
49    49   9:35 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                       Nilüfer Yanya                                       Just A Western
50    50   9:39 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                        Leon Bridges                                   That's What I Love
51    51   9:43 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                           The Kills                                    Happier Than Ever
52    52   9:47 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                         Devon Again                                              Sunburn
53    53   9:49 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                          Ethel Cain                                             For Sure
54    54   9:49 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                     Suki Waterhouse                             Model, Actress, Whatever
55    55  10:04 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                      John Carpenter                                             Prologue
56    56  10:05 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        The Specials                                           Ghost Town
57    57  10:09 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81               Screamin' Jay Hawkins                                 I Put a Spell On You
58    58  10:11 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                           Dramarama                                   Anything, Anything
59    59  10:14 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                     Letters to Cleo                                       Dangerous Type
60    60  10:14 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                              Sparks                                  Armies of the Night
61    61  10:24 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                       Mike Oldfield                    Tubular Bells (From The Exorcist)
62    62  10:27 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                             Bauhaus                 Bela Lugosi Is Dead (The Hunger Mix)
63    63  10:27 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                               SQÜRL               Funnel of Love (feat. Madeline Follin)
64    64  10:37 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81           Nick Cave & The Bad Seeds                                       Red Right Hand
65    65  10:37 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        The Blasters                                           Dark Night
66    66  10:47 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                     Concrete Blonde                                    Your Haunted Head
67    67  10:50 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                       Matthew Sweet                                          Silent City
68    68  10:54 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                              Goblin                                             Suspiria
69    69  10:54 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                      Marilyn Manson                      Sweet Dreams (Are Made of This)
70    70  11:04 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                    Love and Rockets                        Haunted When the Minutes Drag
71    71  11:04 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        Tim Cappello                                      I Still Believe
72    72  11:17 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                     Harry Belafonte                                     Jump in the Line
73    73  11:20 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                              Prince                                             Batdance
74    74  11:28 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                    Bernard Herrmann                                  Prelude and Rooftop
75    75  11:28 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                            The Cure                                                 Burn
76    76  11:28 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                    Barbra Streisand             Love Theme (From The Eyes of Laura Mars)
77    77  11:28 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                                 SSQ               Tonight (We'll Make Love Until We Die)
78    78  11:45 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                          The Cramps                                                Fever
79    79  11:49 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81  Michael Riesman & The Western Wind                                            Music Box
80    80  11:51 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81             Siouxsie & The Banshees                                            Halloween
81    81  11:55 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81               The Swimming Pool Q's                                           Corruption
82    82  11:59 AM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                         Mick Smiley                                                Magic
83    83  12:05 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                                Blur                                          Coffee & TV
84    84  12:09 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                       Harry Nilsson                                         Gotta Get Up
85    85  12:09 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                              Berlin                                 The Metro (Acoustic)
86    86  12:15 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                         Billy Bragg                        Greetings to the New Brunette
87    87  12:15 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81             Siouxsie & The Banshees                                          Happy House
88    88  12:22 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81             Prince & The Revolution                                              America
89    89  12:26 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                         The Shadows                                  The Frightened City
90    90  12:28 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81     Robyn Hitchcock & The Egyptians                         Mellow Together (LP Version)
91    91  12:30 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                            Iggy Pop                                        The Passenger
