     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
30    30   9:50 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               Tunde Adebimpe                                                Magnetic
31    31   9:57 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      SPRINTS                                                   Heavy
32    32  10:02 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Liz Phair                                                 Hey Lou
33    33  10:18 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                         They Might Be Giants                              I Can't Remember the Dream
34    34  10:21 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Alphaville                           Red Rose (Single Version '88)
35    35  10:24 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    New Order                          Thieves like Us (12" Extended)
36    36  10:28 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   The Weeknd                                          Take My Breath
37    37  10:35 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     CHVRCHES                                              Good Girls
38    38  10:40 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              The Stone Roses                                               Waterfall
39    39  10:48 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               The Chordettes                                                Lollipop
40    40  10:49 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  The Monkees                               Last Train to Clarksville
41    41  10:51 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                          The Magnetic Fields                                          Strange Powers
42    42  10:53 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    The Sheds                                         Drunk For Lunch
43    43  10:56 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   The Smiths                    There Is a Light That Never Goes Out
44    44  10:59 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                          The Magnetic Fields                                       100,000 Fireflies
45    45  11:03 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                         INXS                                     Never Tear Us Apart
46    46  11:06 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Duran Duran                                             Come Undone
47    47  11:09 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   The Church                                     Under The Milky Way
48    48  11:13 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                         Blur                                                    Sing
49    49  11:18 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Cocteau Twins                                       Carolyn's Fingers
50    50  11:24 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  David Bowie                                                 Starman
51    51  11:27 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                          The Lightning Seeds                                                    Pure
52    52  11:34 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                        Death                                        Keep On Knocking
53    53  11:35 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Le Tigre                                    Get Off the Internet
54    54  11:38 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             The Fire Engines                     Fascist Groove Thing (Peel Session)
55    55  11:41 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               Northern State                                              Sucka Mofo
56    56  11:44 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Ramones                    Do You Remember Rock 'N' Roll Radio?
57    57  11:48 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                       Spouse                                              Drag Queen
58    58  11:51 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Big Dipper                                              Homosapien
