     seq                show                                                        episode                                             artist                                                       track
73    73           UNCERTAIN                                                           #699                  Peter Fernandez and Keith Messier                                                     Popcorn
74    74           UNCERTAIN                                                           #699                                             RuPaul                                              Call Me Mother
75    75           UNCERTAIN                                                           #699                                         Underworld                                              Two Months Off
76    76           UNCERTAIN                                                           #699                        Emergency Broadcast Network                          Electronic Behavior Control System
77    77           UNCERTAIN                                                           #699                                                Pob                                                  Bluebottle
78    78           UNCERTAIN                                                           #699                                         Power-Pill                             Pac-Man (Original Full Version)
79    79           UNCERTAIN                                                           #699                                      Saint Etienne                                        Stormtrooper In Drag
80    80           UNCERTAIN                                                           #699                                             Transa                                     Enervate (Original Mix)
81    81           UNCERTAIN                                                           #699                                         Lost Tribe                                   Gamemaster (Original Mix)
82    82           UNCERTAIN                                                           #699                                     Dream Traveler                                     Time (Original Version)
83    83           UNCERTAIN                                                           #699                                      Still Corners                                                 The Message
84    84           UNCERTAIN                                                           #699                                        David Bowie                                                    "Heroes"
85    85           UNCERTAIN                                                           #699                               Hallelujah The Hills                                           Here Goes Nothing
86    86           UNCERTAIN                                                           #699                                                 U2                                                Drowning Man
87    87           UNCERTAIN                                                           #699                                          Minutemen                                       The Price of Paradise
88    88           UNCERTAIN                                                           #699                                     The Stranglers                                       No More Heroes (Edit)
89    89           UNCERTAIN                                                           #699                                            Nirvana                                Dumb (Steve Albini 2013 Mix)
90    90           UNCERTAIN                                                           #699                                The Wedding Present                                                    Corduroy
91    91           UNCERTAIN                                                           #699                                     Chuck Mangione                                        Cannonball Run Theme
92    92           UNCERTAIN                                                           #699                                          Big Black                                                    Kerosene
93    93           UNCERTAIN                                                           #699                                      Talking Heads                                               Love for Sale
94    94      ENJOY YOUR DAY                                                            #74                                          Wildhoney                                                 Slow Motion
95    95      ENJOY YOUR DAY                                                            #74                                   Seaweed Mustache                                                       Flush
96    96      ENJOY YOUR DAY                                                            #74                                         trauma ray                                                      Bishop
97    97      ENJOY YOUR DAY                                             Good Running Music                          DJ Sabrina The Teenage DJ                                You('ll Always) Own My Heart
98    98      ENJOY YOUR DAY                                             Good Running Music                                        Hotline TNT    I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
99    99      ENJOY YOUR DAY                                             Good Running Music                                          The Field                                                   Istedgade
100  100      ENJOY YOUR DAY                                             Good Running Music                                           Hot Chip                                                      Flutes
101  101      ENJOY YOUR DAY                                             Good Running Music                                             Jungle                                      Beat 54 (All Good Now)
102  102      ENJOY YOUR DAY                                             Good Running Music                                            Caribou                                                Come Find Me
103  103      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                             Clairo                                                  Love Songs
104  104      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                          Tchotchke                                          You'll Remember Me
105  105      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                    The Lemon Twigs                                                     The One
106  106      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                            Foxygen                                          How Can You Really
107  107      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                            Whitney                                       No Matter Where We Go
108  108      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                               TOPS                                             Direct Sunlight
109  109      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                          Destroyer                                          New Ways of Living
110  110      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                         JW Francis                                                 Mississippi
111  111      ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                         Mt. Misery                                                   Waking Up
112  112      ENJOY YOUR DAY                                           No Heat Club Turn Up                                 Daughter of Swords                                              Alone Together
113  113      ENJOY YOUR DAY                                           No Heat Club Turn Up                                           Wild Cub                                             Thunder Clatter
114  114      ENJOY YOUR DAY                                           No Heat Club Turn Up                                     Tegan and Sara                                           Back In Your Head
115  115      ENJOY YOUR DAY                                           No Heat Club Turn Up                                         Best Coast                                                    Bratty B
116  116      ENJOY YOUR DAY                                           No Heat Club Turn Up                                         Toro y Moi                                               Empty Nesters
117  117      ENJOY YOUR DAY                                           No Heat Club Turn Up                                          Ducktails                                                 Under Cover
118  118      ENJOY YOUR DAY                                           No Heat Club Turn Up                                   The Sea and Cake                                               I Should Care
119  119      ENJOY YOUR DAY                                           No Heat Club Turn Up                                   The Hard Quartet                                                         Hey
120  120      ENJOY YOUR DAY                      Sing Along In Your Cubicle or Home Office                                      Guns N' Roses                                               Paradise City
121  121          YEAH RIGHT                                                             #1                                             Lankum                      What Will We Do When We Have No Money?
122  122          YEAH RIGHT                                                             #1                                      Gillian Welch                                        Wayside/Back in Time
123  123          YEAH RIGHT                                                             #1                                           Momentum                                                     Relapse
124  124          YEAH RIGHT                                                             #1                                        Bicycle Inn                                                   Leap Year
125  125          YEAH RIGHT                                                             #1                          Billy Woods & Kenny Segal                                                Soft Landing
126  126          YEAH RIGHT                                                             #1                                       Modest Mouse                                                       Lives
127  127          YEAH RIGHT                                                             #1                                 Mike, Tony Seltzer                On God (feat. Earl Sweatshirt & Tony Shhnow)
128  128          YEAH RIGHT                                                             #1                                              Bjork                                                    Immature
129  129          YEAH RIGHT                                                             #1                                         Tim Hecker                                     Trade Winds, White Heat
130  130          YEAH RIGHT                                                             #1                                               Zulu                                              Where I'm From
131  131          YEAH RIGHT                                                             #1                                   Sturgill Simpson                                              All Around You
132  132          YEAH RIGHT                                                             #1                                              Break                                                       Break
133  133          YEAH RIGHT                                                             #1                                   Boards of Canada                                        Turqoise Hexagon Sun
134  134          YEAH RIGHT                                                             #1                               The Game ft. 50 Cent                                          Hate It Or Love It
135  135          YEAH RIGHT                                                             #1                                            Grouper                                                Unclean Mind
136  136          YEAH RIGHT                                                             #1                                               Live                                            My Blinded Heart
137  137          YEAH RIGHT                                                             #1                                               Live                                                 Jealous Guy
138  138          YEAH RIGHT                                                             #1                                       James Taylor                                           Bartender's Blues
139  139          YEAH RIGHT                                                             #1  Stuart Duncan, Edgar Meyer, Chris Thile, Yo-Yo Ma                                        Quarter Chicken Dark
140  140          YEAH RIGHT                                                             #1                                     Robert Glasper                                                        Gone
141  141          YEAH RIGHT                                                             #1                                           The Band                                          Look Out Cleveland
142  142          YEAH RIGHT                                                             #1                                    Jimmy Eat World                                           Table for Glasses
143  143          YEAH RIGHT                                                             #1                                       Erick Sermon                                        React (feat. Redman)
144  144          YEAH RIGHT                                                             #1                              Oneohtrix Point Never                                                 Submersible
145  145          YEAH RIGHT                                                             #1                                        Kitty Craft                                                 Caught High
146  146          YEAH RIGHT                                                             #1                                          Broadcast                                              Tender Buttons
147  147          YEAH RIGHT                                                             #1                                              Stand                                                      R.E.M.
148  148          YEAH RIGHT                                                             #1                                            dazegxd                                                        on2u
149  149          YEAH RIGHT                                                             #1                                            Space 4                                               Nala Sinephro
