     seq                                  show                                               episode                                  artist                                                              track
85    85                        ENJOY YOUR DAY                                        Brat Pro Shops                         The Crane Wives                                                   Arcturus Beaming
86    86                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                              Young Scum                                                    Peach Ice Cream
87    87                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                         Teenage Fanclub                                                          Star Sign
88    88                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                     Super Furry Animals                             Something 4 the Weekend (U.S. Version)
89    89                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                                    Blur                                                   End of a Century
90    90                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                                   Sugar                                                Your Favorite Thing
91    91                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                                   Hurry                                             Read Between the Lines
92    92                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                            I Was a King                                                             Bubble
93    93                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                                 Lemuria                                                   Sliver of Change
94    94                        ENJOY YOUR DAY  Two Year Anniversary of When I Stopped Having Guests                               Best Bets                                                             Heaven
95    95                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                               Cold Gawd        All My Life, My Heart Has Yearned For a Thing I Cannot Name
96    96                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                                    Daze                                                             Verano
97    97                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                                Blushing                                                            Seafoam
98    98                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                                 Sungaze                                                   Not Mine to Hold
99    99                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                             Muted Color                                                      Where It Lies
100  100                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                                 Nothing                                                     Blue Line Baby
101  101                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                         Cathedral Bells                                                 Everything at Once
102  102                        ENJOY YOUR DAY                       Avast Ye Mateys, Shoegaze Ahead                               Soft Kill                                                           Roseland
103  103                        ENJOY YOUR DAY                  Earnest Chris Presents Himself Again                            Led Zeppelin                                        Over the Hills and Far Away
104  104                   UNKNOWN FREQUENCIES                                                   #10                         Third Eye Blind                                                         I Want You
105  105                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                              warmachine                                                       Coolest Hell
106  106                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                               Overrider                                                         Kill-9 DIs
107  107                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                         Nuclear Daisies                                                      Cinnamon Kiss
108  108                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                         Hollow Sunshine                                                          Thank You
109  109                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                                ___gauze                                                             Joules
110  110                   UNKNOWN FREQUENCIES              episode 10 oh youuuudoyoudoyoudoyoudoooo                           Her New Knife                                                       purepurepure
111  111                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                         Type O Negative                                                      Black Sabbath
112  112                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                                   Hexis                                                             Umbrae
113  113                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                               Chat Pile                                                         No Way Out
114  114                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                             Atomic Prey                                                               Fear
115  115                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                      The Death of Money                                                Trust the Outsiders
116  116                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                                 Stalled                                                       Company Time
117  117                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                      Unknown Freqencies                                             bring back good covers
118  118                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                                 Garbage                                                           #1 Crush
119  119                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                      Year of the Rabbit                                                             Hunted
120  120                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                               Quicksand                                                         Cosmonauts
121  121                   UNKNOWN FREQUENCIES           I told you I would find more breakcore shit                         Alice in Chains                                  Brother (Live 1996 MTV Unplugged)
122  122                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                Sex Week                                                          Toad Mode
123  123                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                Polamine                                                            Eleanor
124  124                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                    Trailer Trash Tracys                                                         Candy Girl
125  125                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Coma Dream                                                               KNow
126  126                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                           Dum Dum Girls                                                        Coming Down
127  127                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                             Barry White                                      Never, Never Gonna Give Ya Up
128  128                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                   Nelly                                      Ride Wit Me (feat. City Spud)
129  129                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                   The Salsoul Orchestra                           Nice 'N' Naasty (Walter Gibbons 12" Mix)
130  130                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                  Introverted Dancefloor                                                          Pipedream
131  131                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                               Sam Feldt                                           Post Malone (feat. RANI)
132  132                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                 Shakira                                                 Whenever, Wherever
133  133                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                     Miami Sound Machine                                                              Conga
134  134                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                    Mylo                                                         In My Arms
135  135                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                The Time                                       Jungle Love (Single Version)
136  136                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                     MCL                                  New York, New York (Midnight Mix)
137  137                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Inner City                                                            Big Fun
138  138                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM         Yazz and the Plastic Population                                                 The Only Way Is Up
139  139                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                 Orbital                                                        The Moebius
140  140                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                         The Bucketheads             The Bomb! (These Sound Fall Into My Mind) [Radio Edit]
141  141                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                               Faithless                           Insomnia 2.0 (Avicii Remix) [Radio Edit]
142  142                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Duck Sauce                                                   Barbra Streisand
143  143                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                Deadmau5                                   Ghosts N Stuff (Feat. Rob Swire)
144  144                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              L.A. Style                                                James Brown Is Dead
145  145                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                    Blur                           Girls and Boys (Pet Shop Boys 12" Remix)
146  146                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                   Robyn                                                  Dancing On My Own
147  147                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Katy Perry                                                      Teenage Dream
148  148                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                         Scissor Sisters                                                  Let's Have A Kiki
149  149                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                 Madonna                                                      Like a Prayer
150  150                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                 Erasure                                                   A Little Respect
151  151                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                            Depeche Mode                             Enjoy The Silence (Ewan Pearson Remix)
152  152                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Eurythmics                                      Sweet Dreams (Seven Seas Mix)
153  153                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                            Todrick Hall                                           Nails, Hair, Hips, Heels
154  154                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                 Prince & The Revolution                                                     When Doves Cry
155  155                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                               Lady Gaga                                                      Born This Way
156  156                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                                Hot Chip                                                   Freakout/Release
157  157                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                      Das Racist & Heems                                Combination Pizza Hut and Taco Bell
158  158                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                          The Sugarcubes                                                    Delicious Demon
159  159                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                         Yeah Yeah Yeahs                                                Date with the Night
160  160                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                               The Kills                                                          Baby Says
161  161                   UNKNOWN FREQUENCIES                                       RIP Layne iLYSM                              Chromatics                                               Time Rider (On Film)
162  162  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82  Vic Mizzy and His Orchestra and Chorus                                      Main Theme: The Addams Family
163  163  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                             Sega Bodega                           Naturopathe (feat. Charlotte Gainsbourg)
164  164  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                              Portishead                                                     Wandering Star
165  165  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                            Pictureplane                                                          Goth Star
166  166  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                 Woodkid                                                        Run Boy Run
167  167  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                The Mothers Of Invention                                    Let's Make The Water Turn Black
168  168  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                             Viagra Boys                                                          Creatures
169  169  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                  Black Devil Disco Club                                                         Max Stroke
170  170  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                 Snõõper                                                        Subdivision
171  171  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                    Ibibio Sound Machine                                               Protection From Evil
172  172  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                             Kap Bambino                                                        Human Pills
173  173  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                      Angelo Badalamenti                                                     Audrey's Dance
174  174  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                            Terry Snider                                                Puttin' On The Ritz
175  175  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                         Bernard Estardy                                                       Cha tatch ka
176  176  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                      Black Market Brass                                                            The Pit
177  177  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                          Mulatu Astatke                                                   Yègellé Tezeta
178  178  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                          The Budos Band                                                        Black Venom
179  179  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82       Manfred Hübler & Siegfried Schwab                                         The Lions And The Cucumber
180  180  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82      Sylvain Rifflet, Philippe Gordiani                                                           INST 1.2
181  181  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                   Tipsy                                                         Space Golf
182  182  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                La Femme                                                           La Femme
183  183  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82               Siouxsie and the Banshees                                                        Trust In Me
184  184  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                 Moondog                                                      Bird's Lament
185  185  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                         Cruel Diagonals                                                            Penance
186  186  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                             David Bowie                                                    We Are The Dead
187  187  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                           Anna Meredith                                                           Nautilus
188  188  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                   Ulver                                                    It Is Not Sound
189  189  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                             Dead Ghosts                                                   Tea Swamp Rumble
190  190  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                  Chrome                                                          Moonchild
191  191  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                          Nouvelle Vague                                                           A Forest
192  192  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                           Nicolas Godin                                                        Team Vulcan
193  193  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                   Björk                                                            Mycelia
194  194  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                         Giorgio Moroder                                                              Tears
195  195  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                               Jana Rush                                                            Moanin'
196  196  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                                   Exuma                                               Exuma, The Obeah Man
197  197  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                   #82                          Vanishing Twin                                       Big Moonlight (Ookii Gekkou)
198  198                             UNCERTAIN                                                  #713                The Jesus and Mary Chain                                              Frequency / Reverence
199  199                             UNCERTAIN                                                  #713                            Memory Tapes                                                       Green Knight
200  200                             UNCERTAIN                                                  #713                              Toro y Moi                                                      Low Shoulders
201  201                             UNCERTAIN                                                  #713                              Washed Out                                                          Amor Fati
202  202                             UNCERTAIN                                                  #713                             Passion Pit                                                         Sleepyhead
203  203                             UNCERTAIN                                                  #713                    Charlotte Gainsbourg                                                                IRM
204  204                             UNCERTAIN                                                  #713                                Yeasayer                                                               Rome
205  205                             UNCERTAIN                                                  #713                         Tangerine Dream                          Network 23 (Blutarski Zero Headroom Edit)
206  206                             UNCERTAIN                                                  #713                           Soul Coughing                                                         Lemon Lime
207  207                             UNCERTAIN                                                  #713                             The Secrets                                                 The Loneliest Duet
208  208                             UNCERTAIN                                                  #713                         Vampire Weekend                                                             Campus
209  209                             UNCERTAIN                                                  #713                                   Kolya                                                       Somnambulism
210  210                             UNCERTAIN                                                  #713                                 Sapling                                              Everything Was Better
211  211                             UNCERTAIN                                                  #713                        Jonathan Coulton                                                     Mandelbrot Set
212  212                             UNCERTAIN                                                  #713                               The Coral                                                    Dreaming of You
213  213                             UNCERTAIN                                                  #713                            The Kingsmen                                               Little Latin Lupe Lu
214  214                             UNCERTAIN                                                  #713                                   Cream                                                        I Feel Free
215  215                             UNCERTAIN                                                  #713                             The Hollies                                         Pay You Back With Interest
216  216                             UNCERTAIN                                                  #713                             Johnny Cash                                                       Man In Black
217  217                             UNCERTAIN                                                  #713                     The Magnetic Fields                                                     Lonely Highway
218  218                             UNCERTAIN                                                  #713                                  R.E.M.                                                      Rotary Eleven
219  219                             UNCERTAIN                                                  #713         Marvin Berry & The Starlighters                                                        Night Train
220  220                             UNCERTAIN                                                  #713                                   James                                                           Sit Down
221  221                             UNCERTAIN                                                  #713                         Catherine Wheel                                                      Little Muscle
222  222                             UNCERTAIN                                                  #713                                     Bis                                               The End Starts Today
223  223                             UNCERTAIN                                                  #713                                The Cure                               Shake Dog Shake (New Blood Mix 2018)
224  224                             UNCERTAIN                                                  #713                 Siouxsie & The Banshees                                                            Monitor
225  225                             UNCERTAIN                                                  #713                                  HEALTH                                                            HATEFUL
226  226                             UNCERTAIN                                                  #713                               Wolfsheim                                                 Once In A Lifetime
227  227                             UNCERTAIN                                                  #713                         Nine Inch Nails                                                                Sin
228  228                             UNCERTAIN                                                  #713                           Kenny Loggins                                                          Mr. Night
229  229                             UNCERTAIN                                                  #713                                 Rainbow                                                Since You Been Gone
230  230                             UNCERTAIN                                                  #713                                   Girls                                                      Lust For Life
